relation,symmetric,anti_symmetric,inverse,composition,label,description
P1537,0,1,0,0,contributing factor of,"thing that is significantly influenced by this cause, but does not directly result from it. See 'Help:Modeling causes' for examples and discussion."
P1542,0,1,0,0,has effect,effect of this item
P1560,1,0,0,0,given name version for other gender,"equivalent name (with respect to the meaning of the name) in the same language: female version of a male first name, male version of a female first name. Add primarily the closest matching one"
P1589,0,1,0,0,lowest point,point with lowest elevation in a region or path
P1625,0,1,1,0,has melody,this work has the melody of the following work
P1639,1,0,0,0,pendant of,"other work in a pair of opposing artworks, such as wedding portraits, commissioned together, but not always"
P1654,0,1,0,0,wing configuration,configuration of wing(s) used by an aircraft
P1678,0,1,0,0,has vertex figure,the figure exposed when a corner of a polytope is sliced off
P1753,0,0,1,0,list related to category,Wikimedia list equivalent to a Wikimedia category
P1754,0,0,1,0,category related to list,Wikimedia category that matches the Wikimedia list
P1889,0,0,0,1,different from,"item that is different from another item, with which it may be confused"
P2098,0,0,1,0,substitute/deputy/replacement of office/officeholder,function that serves as deputy/replacement of this function/office (scope/conditions vary depending on office)
P2152,1,0,0,0,antiparticle,particle with the same rest mass and opposite charges
P2155,1,0,0,0,solid solution series with,"the mineral forms a continous (true) or discontinous ""solid solution series"" with another mineral"
P2283,0,1,0,0,uses,item or concept used by the subject or in the operation (see also instrument [P1303] and armament [P520])
P2289,0,1,0,0,venous drainage,vein draining the anatomical structure
P2353,0,0,0,1,statistical unit used,base item of this database or statistical set
P2388,0,0,1,0,position held by head of the organization,position of the head of this item
P2389,0,0,1,0,organization directed by the office or position,organization or project which is directed by this office
P2499,0,1,0,0,league level above,the league above this sports league
P2500,0,1,0,0,league level below,the league below this sports league
P2567,0,1,0,0,amended by,document is amended by specified other document
P2568,0,1,0,0,repealed by,document is repealed/inactived by specified other document
P2670,0,0,0,1,has part(s) of the class,the subject has one or more parts of the object class
P2673,0,1,1,0,next crossing upstream,"next crossing of this river, canal, etc. upstream of this subject"
P2674,0,1,1,0,next crossing downstream,"next crossing of this river, canal, etc. downstream of this subject"
P2681,0,0,1,0,is recto of,the two-dimensional artwork that is on the back (verso) side of this artwork
P2682,0,0,1,0,is verso of,the two-dimensional artwork that is on the front (recto) side of this artwork
P2743,1,0,1,0,this zoological name is coordinate with,links coordinate zoological names
P2935,0,1,0,0,connector,physical connectors which the device has/supports
P2959,1,0,0,0,permanent duplicated item,"this item duplicates another item and the two can't be merged, as one Wikimedia project includes two pages, e.g. in different scripts or languages (only applies to some wikis, e.g.: cdowiki, gomwiki, nanwiki). Use P31=Q17362920 for other wikis."
P3032,1,0,0,0,adjacent building,building adjacent to the item
P3075,0,1,0,0,official religion,official religion in this administrative entity
P3085,0,1,0,0,qualifies for event,this event qualifies for that event
P3094,0,1,0,0,develops from,this class of items develops from another class of items (biology)
P3137,0,1,0,0,parent peak,"higher peak whose territory this peak resides in, where the territory is defined by a contour line through a key col, which can be selected based on several competing approaches"
P3148,0,1,0,0,repeals,this document or act repeals that other document or act
P3261,0,1,0,0,anatomical branch of,"main stem of this blood vessel, lymphatic vessel or nerve"
P3262,0,1,0,0,has anatomical branch,"branches of this blood vessel, lymphatic vessel or nerve"
P3403,1,0,0,0,coextensive with,this item has the same boundary as the target item; area associated with (this) entity is identical with the area associated with that entity
P3461,0,1,0,0,designated as terrorist by,"country or organization that has officially designated a given group as a terrorist organization (e.g. for India, listed on http://mha.nic.in/BO )"
P3729,0,1,1,0,next lower rank,"lower rank or level in a ranked hierarchy like sport league, military ranks. If there are several possible, list each one and qualify with ""criterion used"" (P1013), avoid using ranks and date qualifiers. For sports leagues/taxa, use specific properties instead."
P3730,0,1,1,0,next higher rank,"higher rank or level in a ranked hierarchy like sport league, military ranks. If there are several possible, list each one and qualify with ""criterion used"" (P1013), avoid using ranks and date qualifiers. For sports leagues/taxa, use specific properties instead."
P3833,0,0,0,1,diaspora,diaspora that a cultural group belongs to
P4147,0,1,1,0,conjugate acid,species formed by accepting a proton (H⁺)
P4149,0,0,1,0,conjugate base,species formed by losing a proton (H⁺)
P4151,0,1,0,0,game mechanics,constructs of rules or methods designed for interaction with the game state
P4329,0,0,1,0,category populated by,"software component (template, module, extension, MediaWiki core) populating the category"
P4353,0,0,0,1,nominated by,who nominated a person for an office or award; can be used as a qualifier
P4545,1,0,0,0,sexually homologous with,body part that originates from the same tissue or cell during fetal development in the opposing sex
P4661,0,0,1,0,reservoir created,reservoir created upstream of a dam by this dam
P4688,0,1,0,0,geomorphological unit,topographic or bathymetric feature to which this geographical item belongs
P4792,0,0,1,0,created by dam,construction impounding this watercourse or creating this reservoir
P4967,0,1,0,0,prerequisite,"prior event or achievement that a person or team needs to complete before joining or obtaining the item topic, e.g. a qualifying round of a sports event, a lower-level course in an educational program, or a lower level of a professional qualification"
P5135,0,1,0,0,greater than,"instances of the item have a greater value than corresponding instances of the object, for the given measure"
P5277,0,0,0,1,grade of kanji,degree of difficulty of kanji
P5278,1,0,0,0,surname for other gender,"gender inflection of surname, patronymic or matronymic"
P5607,0,1,1,0,located in the religious territorial entity,the item is located on the territory of the following religious entity. Use P708 (diocese) for dioceses
P5642,0,1,0,0,risk factor,"factor associated with a high prevalence of a particular gene, disease or characteristic. These factors can be country of origin, country of citizenship, race, gender, occupation, anamnesis, etc."
P5998,0,1,0,0,distributary,stream that branches off and flows away from the river
P6185,1,0,0,0,tautomer of,target item is a tautomer of this one
P6291,0,0,1,0,advertises,"cause, organization or product targeted by the advertising campaign, character, jingle or slogan"
P6439,0,0,1,0,has lyrics,work whose text is used as the lyrics of this work
P7209,0,0,0,1,ordeal by,manner of judicial practice by which the guilt or innocence of the accused was determined
P7604,0,0,1,0,supervised by,natural person who has the authority of giving instructions and/or orders to subordinates and is held responsible for the work and actions of subordinates
P7938,0,1,0,0,associated electoral district,constituencies/electoral districts in which a place is located or is part of. If a municipality/county is split into or part of several districts: add several values. Use only if distinct from administrative entities (P131) in predefined countries
P8058,0,0,1,0,symbol of,item of which the image is a symbol
P8138,0,1,0,0,located in the statistical territorial entity,statistical territorial entity in which a place is located or is part of. If a municipality or county is split into or part of several regions: add several values
P8225,0,1,0,0,is metaclass for,all instances of the subject are subclasses of the object
P8263,0,1,0,0,curriculum topics,topic or subject included in the curriculum
P8289,0,0,1,0,parish church(es),church(es) which acts as the religious center of a parish
P8308,0,0,0,1,has column,"columns for entries in the appendix, list or table"
P8571,0,1,0,0,external auditor,"external company or person appointed to audit a business' or an organization's books, requirement for many companies"
P8865,1,0,0,0,mathematical inverse,inverse element with respect to binary operation given as a qualifier using P2210
P9059,0,1,0,0,subdivision of this unit,name of subdivision of this unit/currency
P9234,0,0,1,0,supplement to,subject work or edition updates or otherwise complements the object work or edition
P9926,0,0,1,0,populates category,"Wikimedia category which is populated by this template, module or extension"
P10254,0,1,0,0,associated cadastral district,cadastral district in which a place is located or is part of. Use only if distinct from administrative entities (P131) in predefined countries
P10374,0,0,0,1,computational complexity,"the most specific complexity class this computational problem has been proved to belong to; if available, provide the tight complexity, otherwise both hardness and membership can be specified"
P10449,0,1,0,0,trained by,"person who trained the subject, a human or an animal"
P10607,0,0,1,0,athletics program,"the name of a school's athletics program, as opposed to individual teams in particular sports"
P10624,0,1,0,0,official observer status in organization,organization by which the subject is granted observer status
P12363,0,1,0,0,clerked for,this person has held a clerkship with the judge
P12452,0,1,0,0,appeals to,court or other body that hears appeals from subject's decisions
P12764,0,0,1,0,replaced synonym of,taxon item which replaced this taxon name (now only a synonym) - inverse property of replaced synonym (for nom. nov.) (P694)
P12765,0,0,1,0,protonym of,"taxon item of which this taxon name is a protonym (original name, for zoological taxa) - inverse property of original combination"
P12994,0,0,0,1,class of agent(s) of action,"class of animate items that may initiate this action or class of actions (for roles of agents, use P12993)"
P13177,1,0,1,0,homonymous taxon,taxon item of which the taxon name is an exact homonym
P13210,0,0,0,1,organisation tax status,jurisdiction specific tax status of organisations like non-profits
P13478,0,1,0,0,nomenclatural type of,"taxon item of which this item is the taxonomic type (name-bearing type), e.g. the family for which this genus is the type, the genus for which this species is the type, the taxon for which this type specimen is the type, ect..."
